date;xmr_open;xmr_high;xmr_low;xmr_close;xmr_adj_close;xmr_volume;eth_open;eth_high;eth_low;eth_close;eth_adj_close;eth_volume;btc_open;btc_high;btc_low;btc_close;btc_adj_close;btc_volume
2022.07.08;130.469330;133.547897;125.617218;125.617218;125.617218;81208946;1237.580322;1262.885742;1200.632202;1222.506226;1222.506226;16315929082;21637.154297;22314.941406;21257.453125;21731.117188;21731.117188;49899834488
2022.07.09;125.585106;128.924927;125.246979;127.173157;127.173157;60121922;1222.306885;1228.767944;1209.377563;1216.978271;1216.978271;8821353104;21716.828125;21877.138672;21445.957031;21592.207031;21592.207031;29641127858
2022.07.10;127.191696;129.157379;120.876244;129.157379;129.157379;98369503;1216.904419;1216.904419;1157.175537;1168.401611;1168.401611;10984558039;21591.080078;21591.080078;20727.123047;20860.449219;20860.449219;28688807249
2022.07.11;129.129349;132.657150;125.744003;127.019791;127.019791;163613480;1168.139038;1169.193848;1095.002808;1097.236572;1097.236572;12064180410;20856.353516;20856.353516;19924.539063;19970.556641;19970.556641;24150249025
2022.07.12;127.022034;129.183105;123.136009;123.185577;123.185577;106710927;1097.259155;1097.259155;1038.135620;1038.191650;1038.191650;12583282453;19970.474609;20043.445313;19308.531250;19323.914063;19323.914063;25810220018
2022.07.13;123.184540;125.542091;117.834457;124.019043;124.019043;91311918;1038.186646;1113.587158;1019.220337;1113.587158;1113.587158;18302588147;19325.972656;20223.052734;18999.953125;20212.074219;20212.074219;33042430345
2022.07.14;124.064301;134.784012;123.409882;133.764832;133.764832;101671233;1113.515747;1202.953369;1077.405762;1191.526245;1191.526245;16688640823;20211.466797;20789.894531;19689.257813;20569.919922;20569.919922;31158743333
2022.07.15;133.800522;141.171646;132.665421;138.906723;138.906723;113264774;1191.674805;1275.778198;1182.903198;1233.129150;1233.129150;17411448225;20573.156250;21138.244141;20397.000000;20836.328125;20836.328125;25905575359
2022.07.16;138.867920;143.765137;135.705093;139.035995;139.035995;115613262;1232.791626;1377.944580;1195.605957;1352.626465;1352.626465;18364013796;20834.103516;21514.404297;20518.898438;21190.316406;21190.316406;24302954056
2022.07.17;139.070892;141.920563;134.925705;135.953568;135.953568;75311845;1353.205078;1378.417480;1329.763306;1338.635742;1338.635742;16079711737;21195.041016;21600.640625;20778.179688;20779.343750;20779.343750;22927802083
2022.07.18;135.960709;148.484573;135.960709;147.483994;147.483994;107876099;1338.806030;1578.717896;1338.806030;1578.717896;1578.717896;27440420623;20781.912109;22633.033203;20781.912109;22485.689453;22485.689453;39974475562
2022.07.19;147.356552;148.831940;140.212372;146.978378;146.978378;155497350;1578.383911;1607.033081;1501.797485;1542.975220;1542.975220;27753529276;22467.849609;23666.962891;21683.406250;23389.433594;23389.433594;48765202697
2022.07.20;146.858398;153.090698;143.389572;151.671158;151.671158;182883969;1542.954346;1612.645752;1500.803223;1520.200684;1520.200684;22942708340;23393.191406;24196.818359;23009.949219;23231.732422;23231.732422;42932549127
2022.07.21;151.728256;152.590073;146.708893;151.005661;151.005661;172584700;1520.374512;1595.761963;1472.185425;1576.749512;1576.749512;20009556587;23233.201172;23388.322266;22431.148438;23164.628906;23164.628906;33631012204
2022.07.22;151.007065;153.259125;148.468964;149.294678;149.294678;139084671;1576.745361;1641.209229;1523.641724;1537.405151;1537.405151;18926100582;23163.751953;23671.927734;22603.416016;22714.978516;22714.978516;31421555646
2022.07.23;149.228607;151.203674;142.670227;146.423859;146.423859;100903721;1536.457397;1591.632568;1495.678101;1549.297485;1549.297485;14998811383;22706.984375;22977.210938;22002.910156;22465.478516;22465.478516;24021799169
2022.07.24;146.427032;153.768234;146.392273;151.459732;151.459732;101611497;1549.222534;1654.428711;1548.671143;1599.476685;1599.476685;17217849557;22465.509766;22974.001953;22306.839844;22609.164063;22609.164063;23565495303
2022.07.25;151.463928;152.044388;143.576721;143.955902;143.955902;109517730;1599.157227;1605.336914;1445.383423;1445.383423;1445.383423;20585056021;22607.156250;22649.121094;21361.642578;21361.701172;21361.701172;35574561406
2022.07.26;143.926407;151.020493;138.239182;151.020493;151.020493;156063144;1445.151123;1445.151123;1362.951660;1441.806763;1441.806763;18238563509;21361.121094;21361.121094;20776.816406;21239.753906;21239.753906;28624673855
2022.07.27;150.988525;162.774719;150.383286;161.605179;161.605179;182674278;1443.726807;1636.799438;1423.618896;1636.232666;1636.232666;23007524016;21244.169922;22986.529297;21070.806641;22930.548828;22930.548828;31758955233
2022.07.28;161.602890;165.988022;157.090363;162.390472;162.390472;224914350;1636.231934;1774.576416;1604.890991;1725.468140;1725.468140;27231399966;22933.640625;24110.470703;22722.265625;23843.886719;23843.886719;40212386158
2022.07.29;162.382202;165.972824;159.115021;160.120468;160.120468;202604097;1725.623901;1759.884033;1662.791138;1727.406982;1727.406982;23249531113;23845.212891;24294.787109;23481.173828;23804.632813;23804.632813;35887249746
